timestamp,temperature,acc_x,acc_y,acc_z,machine_status
2025-04-10 13:42:30,34.25,0.27,-7.88,-6.0,0
2025-04-10 13:42:30,34.25,0.27,-7.85,-5.96,0
2025-04-10 13:42:31,34.25,0.31,-7.96,-6.0,0
2025-04-10 13:42:31,34.25,0.31,-7.96,-5.96,0
2025-04-10 13:42:32,34.25,0.31,-7.92,-6.04,0
2025-04-10 13:42:33,34.25,0.27,-7.88,-5.96,0
2025-04-10 13:42:33,34.25,0.31,-7.88,-6.04,0
2025-04-10 13:42:34,34.25,0.24,-7.81,-6.08,0
2025-04-10 13:42:34,34.25,0.31,-7.96,-6.0,0
2025-04-10 13:42:35,34.25,0.31,-7.69,-6.0,0
2025-04-10 13:42:35,34.31,0.31,-7.73,-5.96,0
2025-04-10 13:42:36,34.31,0.63,-7.88,-5.92,0
2025-04-10 13:42:36,34.31,0.51,-7.77,-6.0,0
2025-04-10 13:42:37,34.31,0.31,-7.92,-6.0,0
2025-04-10 13:42:38,34.31,0.31,-7.85,-6.0,0
2025-04-10 13:42:38,34.31,0.67,-8.0,-5.84,0
2025-04-10 13:42:39,34.31,0.16,-7.96,-6.04,0
2025-04-10 13:42:39,34.31,0.35,-7.85,-6.04,0
2025-04-10 13:42:40,34.31,-0.16,-8.04,-5.81,0
2025-04-10 13:42:40,34.31,0.2,-7.96,-5.96,0
2025-04-10 13:42:41,34.31,0.24,-7.85,-6.04,0
2025-04-10 13:42:41,34.31,0.35,-7.88,-6.0,0
2025-04-10 13:42:42,34.38,0.63,-7.73,-5.69,0
2025-04-10 13:42:42,34.38,0.39,-7.88,-5.84,0
2025-04-10 13:42:43,34.31,0.43,-8.28,-5.77,0
2025-04-10 13:42:44,34.31,0.35,-7.77,-6.04,0
2025-04-10 13:42:44,34.38,0.27,-8.12,-5.96,0
2025-04-10 13:42:45,34.38,0.2,-7.96,-5.88,0
2025-04-10 13:42:45,34.38,0.39,-8.12,-5.88,0
2025-04-10 13:42:46,34.38,-0.08,-8.16,-5.73,0
2025-04-10 13:42:46,34.38,0.35,-7.96,-5.92,0
2025-04-10 13:42:47,34.38,0.31,-7.92,-5.92,0
2025-04-10 13:42:47,34.38,0.39,-7.92,-5.92,0
2025-04-10 13:42:48,34.38,0.35,-8.0,-5.84,0
2025-04-10 13:42:49,34.38,0.35,-8.0,-5.84,0
2025-04-10 13:42:49,34.38,0.35,-7.69,-5.92,0
2025-04-10 13:42:50,34.38,0.31,-8.04,-5.84,0
2025-04-10 13:42:50,34.38,-0.27,-8.0,-6.04,0
2025-04-10 13:42:51,34.38,0.35,-8.08,-6.12,0
2025-04-10 13:42:51,34.38,-0.08,-7.65,-5.69,0
2025-04-10 13:42:52,34.38,0.59,-7.96,-5.61,0
2025-04-10 13:42:52,34.38,-0.27,-8.12,-6.0,0
2025-04-10 13:42:53,34.38,-0.63,-8.32,-5.61,0
2025-04-10 13:42:54,34.38,-0.82,-8.51,-5.49,0
2025-04-10 13:42:54,34.38,0.35,-7.96,-6.08,0
2025-04-10 13:42:55,34.38,0.63,-8.0,-6.43,0
2025-04-10 13:42:55,34.38,0.16,-8.28,-5.18,0
2025-04-10 13:42:56,34.38,0.98,-8.12,-5.61,0
2025-04-10 13:42:56,34.44,-0.08,-8.24,-5.73,0
2025-04-10 13:42:57,34.44,1.53,-8.04,-6.35,0
2025-04-10 13:42:57,34.44,1.14,-8.12,-5.88,0
2025-04-10 13:42:58,34.44,1.14,-8.43,-5.57,0
2025-04-10 13:42:58,34.44,0.35,-7.85,-5.92,0
2025-04-10 13:42:59,34.44,0.35,-7.92,-5.92,0
2025-04-10 13:43:00,34.44,0.47,-8.08,-5.84,0
2025-04-10 13:43:00,34.44,0.39,-7.96,-5.88,0
2025-04-10 13:43:01,34.44,0.39,-7.96,-5.88,0
2025-04-10 13:43:01,34.44,0.39,-7.96,-5.81,0
2025-04-10 13:43:02,34.44,0.2,-8.04,-5.69,0
2025-04-10 13:43:02,34.44,0.63,-8.24,-5.92,0
2025-04-10 13:43:03,34.44,0.35,-7.88,-5.81,0
2025-04-10 13:43:03,34.44,0.2,-8.16,-5.81,0
2025-04-10 13:43:04,34.44,0.55,-7.81,-5.77,0
2025-04-10 13:43:05,34.44,0.43,-8.04,-5.81,0
2025-04-10 13:43:05,34.44,0.47,-7.88,-5.96,0
2025-04-10 13:43:06,34.44,0.51,-8.04,-5.84,0
2025-04-10 13:43:06,34.44,0.47,-8.0,-5.81,0
2025-04-10 13:43:07,34.44,0.47,-8.0,-5.77,0
2025-04-10 13:43:07,34.44,0.47,-8.04,-5.84,0
2025-04-10 13:43:08,34.44,0.31,-8.04,-5.77,0
2025-04-10 13:43:08,34.44,0.35,-8.04,-5.81,0
2025-04-10 13:43:09,34.44,0.43,-8.04,-5.77,0
2025-04-10 13:43:10,34.44,0.16,-8.0,-5.77,0
2025-04-10 13:43:10,34.44,1.26,-8.0,-5.96,0
2025-04-10 13:43:11,34.44,0.43,-7.96,-5.81,0
2025-04-10 13:43:11,34.44,0.43,-8.0,-5.81,0
2025-04-10 13:43:12,34.44,0.04,-8.16,-6.0,0
2025-04-10 13:43:12,34.44,0.47,-7.88,-6.2,0
2025-04-10 13:43:13,34.38,0.12,-7.77,-5.77,0
2025-04-10 13:43:13,34.38,0.9,-8.2,-6.08,0
2025-04-10 13:43:14,34.44,0.9,-7.61,-6.35,0
2025-04-10 13:43:14,34.44,0.59,-7.92,-6.16,0
2025-04-10 13:43:15,34.44,-0.04,-8.0,-6.12,0
2025-04-10 13:43:16,34.44,0.39,-7.88,-5.84,0
2025-04-10 13:43:16,34.44,0.24,-8.43,-5.3,0
2025-04-10 13:43:17,34.44,0.98,-8.39,-6.24,0
2025-04-10 13:43:17,34.38,0.08,-8.16,-5.49,0
2025-04-10 13:43:18,34.38,0.9,-8.47,-6.32,0
2025-04-10 13:43:18,34.44,0.63,-8.08,-6.39,0
2025-04-10 13:43:19,34.44,0.67,-8.24,-5.1,0
2025-04-10 13:43:19,34.44,0.2,-8.04,-5.73,0
2025-04-10 13:43:20,34.44,0.47,-7.96,-5.84,0
2025-04-10 13:43:21,34.44,0.43,-8.04,-5.81,0
2025-04-10 13:43:21,34.44,0.43,-8.0,-5.81,0
2025-04-10 13:43:22,34.44,0.43,-8.0,-5.81,0
2025-04-10 13:43:22,34.44,1.37,-7.1,-5.81,0
2025-04-10 13:43:23,34.44,0.51,-8.04,-5.81,0
2025-04-10 13:43:23,34.44,0.55,-8.0,-5.81,0
2025-04-10 13:43:24,34.44,0.51,-7.96,-5.77,0
2025-04-10 13:43:24,34.44,0.51,-8.08,-5.81,0
2025-04-10 13:43:25,34.44,0.47,-8.04,-5.84,0
2025-04-10 13:43:26,34.44,0.39,-7.69,-5.73,0
2025-04-10 13:43:26,34.44,0.35,-8.04,-5.77,0
2025-04-10 13:43:27,34.44,0.35,-7.81,-5.84,0
2025-04-10 13:43:27,34.44,0.51,-8.0,-5.81,0
2025-04-10 13:43:28,34.44,0.39,-8.08,-5.77,0
2025-04-10 13:43:28,34.44,0.31,-8.12,-5.77,0
2025-04-10 13:43:29,34.44,0.35,-8.08,-5.77,0
2025-04-10 13:43:29,34.44,0.43,-8.04,-5.81,0
2025-04-10 13:43:30,34.44,0.43,-8.04,-5.81,0
2025-04-10 13:43:31,34.44,0.39,-8.08,-5.77,0
2025-04-10 13:43:31,34.44,0.39,-8.12,-5.77,0
2025-04-10 13:43:32,34.44,0.43,-7.96,-5.81,0
2025-04-10 13:43:32,34.44,0.47,-8.0,-5.73,0
2025-04-10 13:43:33,34.38,0.43,-8.04,-5.77,0
2025-04-10 13:43:33,34.38,0.47,-8.0,-5.77,0
2025-04-10 13:43:34,34.44,0.43,-8.12,-5.73,0
2025-04-10 13:43:34,34.44,0.47,-8.04,-5.77,0
2025-04-10 13:43:35,34.44,0.47,-8.08,-5.77,0
2025-04-10 13:43:35,34.44,0.51,-8.04,-5.77,0
2025-04-10 13:43:36,34.44,0.51,-8.04,-5.81,0
2025-04-10 13:43:37,34.44,0.51,-8.08,-5.77,0
2025-04-10 13:43:37,34.44,0.39,-8.24,-5.69,0
2025-04-10 13:43:38,34.44,0.51,-8.08,-5.73,0
2025-04-10 13:43:38,34.44,0.47,-8.08,-5.81,0
2025-04-10 13:43:39,34.44,0.51,-7.96,-5.77,0
2025-04-10 13:43:39,34.44,0.51,-8.12,-5.77,0
2025-04-10 13:43:40,34.44,0.43,-8.08,-5.81,0
2025-04-10 13:43:40,34.44,-0.12,-7.81,-5.88,0
2025-04-10 13:43:41,34.44,0.39,-8.16,-5.65,0
2025-04-10 13:43:42,34.44,0.39,-8.04,-5.77,0
2025-04-10 13:43:42,34.44,0.31,-8.28,-5.77,0
2025-04-10 13:43:43,34.44,0.35,-7.77,-5.81,0
2025-04-10 13:43:43,34.44,-0.55,-14.71,-2.79,0
2025-04-10 13:43:44,34.44,0.27,-8.0,-5.88,0
2025-04-10 13:43:44,34.44,0.35,-8.39,-5.69,0
2025-04-10 13:43:45,34.44,0.31,-8.0,-5.88,0
2025-04-10 13:43:45,34.44,0.27,-8.04,-5.92,0
2025-04-10 13:43:46,34.44,0.27,-8.28,-5.77,0
2025-04-10 13:43:47,34.44,0.31,-8.08,-5.77,0
2025-04-10 13:43:47,34.44,0.24,-8.04,-5.77,0
2025-04-10 13:43:48,34.44,0.35,-8.12,-5.73,0
2025-04-10 13:43:48,34.44,0.31,-8.08,-5.77,0
2025-04-10 13:43:49,34.44,0.31,-8.04,-5.81,0
2025-04-10 13:43:49,34.44,0.27,-8.04,-5.77,0
2025-04-10 13:43:50,34.44,0.75,-7.77,-5.81,0
2025-04-10 13:43:50,34.44,0.82,-8.0,-5.49,0
2025-04-10 13:43:51,34.44,0.24,-8.0,-5.77,0
